id,ts_in,ts_out,side,entry,sl,tp,exit_price,exit_reason,lots,pnl_usd,r_realized,bars_held,session,year
1361,2020-08-04 19:30:00,2020-08-04 20:30:00,1,1996.8412289042706,1992.3267899249488,2005.870106862914,2005.539362125273,tp,0.01,8.628133221002535,1.9267362480352568,4,ny,2020
1362,2020-08-05 03:30:00,2020-08-05 05:15:00,-1,2020.2244718460447,2025.4669601222813,2009.7394952935715,2010.0305294294615,tp,0.01,10.12394241658324,1.9444854960936828,7,asia,2020
1363,2020-08-05 11:15:00,2020-08-05 11:45:00,-1,2030.8532062019399,2035.5348795186399,2021.48985956854,2035.8589610418035,sl,0.01,-5.075754839863585,-1.0692234381257624,2,london,2020
1364,2020-08-05 17:15:00,2020-08-05 17:45:00,1,2050.8584708909193,2045.0928034406613,2062.3898057914353,2044.8291371085834,sl,0.01,-6.0993337823359255,-1.0457304092462267,2,ny,2020
1365,2020-08-05 19:45:00,2020-08-05 20:15:00,-1,2031.830654292601,2038.1625427796237,2019.1668773185554,2038.50183327916,sl,0.01,-6.7411789865591984,-1.053584408542858,2,ny,2020
1366,2020-08-06 09:15:00,2020-08-06 10:30:00,1,2049.3502707273674,2046.1519903423318,2055.7468314974385,2045.8721144352694,sl,0.01,-3.5481562920979925,-1.087508246109986,5,london,2020
1367,2020-08-06 12:30:00,2020-08-06 14:30:00,1,2050.3155042285057,2046.119342613109,2058.707827459299,2058.424418073333,tp,0.01,8.038913844827384,1.9324598497526577,8,london,2020
1368,2020-08-06 17:00:00,2020-08-06 17:15:00,1,2064.4272045189177,2058.838621042021,2075.6043714727116,2058.5426172935304,sl,0.01,-5.95458722538735,-1.0529657917277415,1,ny,2020
1369,2020-08-06 20:15:00,2020-08-06 21:45:00,-1,2056.0618476891887,2060.8074376989575,2046.5706676696507,2061.1104002230536,sl,0.01,-5.11855253386495,-1.0638408550828076,6,ny,2020
1370,2020-08-07 04:30:00,2020-08-07 06:45:00,-1,2065.9093304078688,2070.55035916588,2056.627272891847,2056.93480238711,tp,0.01,8.904528020758953,1.9337367830931054,9,asia,2020
1371,2020-08-07 10:30:00,2020-08-07 12:45:00,1,2061.799310933086,2057.327421936683,2070.7430889258912,2056.9929810752665,sl,0.01,-4.876329857819492,-1.0747873799384655,9,london,2020
1372,2020-08-07 15:30:00,2020-08-07 16:00:00,1,2059.027497783749,2053.083014931553,2070.9164634881413,2052.756533731492,sl,0.01,-6.340964052257114,-1.0549217161826865,2,ny,2020
1373,2020-08-07 18:30:00,2020-08-07 20:15:00,-1,2032.8039434889222,2040.9292248331187,2016.553380800529,2016.8816569353348,tp,0.01,15.852286553587355,1.9595981824013775,7,ny,2020
1374,2020-08-10 12:00:00,2020-08-10 12:30:00,1,2035.5306272903406,2032.6183359144961,2041.3552100420293,2032.3496697041264,sl,0.01,-3.2509575862141626,-1.09225251724402,2,london,2020
1375,2020-08-10 16:30:00,2020-08-10 16:45:00,1,2039.5697025846218,2035.8199934443192,2047.0691208652274,2046.8158272637575,tp,0.01,7.1761246791356195,1.9324498002398918,1,ny,2020
1376,2020-08-10 19:00:00,2020-08-10 21:30:00,-1,2031.6174702661217,2036.4977258200283,2021.8569591583082,2022.1793603835267,tp,0.01,9.368109882594972,1.9339376346879584,10,ny,2020
1377,2020-08-11 06:00:00,2020-08-11 06:30:00,-1,2015.7262616521693,2019.1759690352671,2008.826846885974,2019.434047571661,sl,0.01,-3.777785919491698,-1.0748117181353927,2,asia,2020
1378,2020-08-11 10:00:00,2020-08-11 10:30:00,1,2002.468207770944,1996.4692487136133,2014.4661258856054,1996.1394969932078,sl,0.01,-6.3987107777362064,-1.054968156517514,2,london,2020
1379,2020-08-11 12:30:00,2020-08-11 12:45:00,1,1994.726968429571,1988.8948579463222,2006.3911893960683,1988.5750150908643,sl,0.01,-6.221953338706562,-1.0548417003375594,1,london,2020
1380,2020-08-11 15:45:00,2020-08-11 16:00:00,-1,1962.9625846932704,1971.0332599565124,1946.8212341667863,1947.123743490121,tp,0.01,15.768841203149515,1.96251747053777,1,ny,2020
1381,2020-08-11 18:15:00,2020-08-11 20:45:00,-1,1943.3547212775509,1953.0667256471618,1923.9307125383293,1924.272623504786,tp,0.01,19.012097772764882,1.9647950151745446,10,ny,2020
1382,2020-08-12 05:00:00,2020-08-12 05:30:00,-1,1882.1299477998584,1892.1829471972876,1862.023949005,1892.4645236450724,sl,0.01,-10.404575845213976,-1.0280091977183254,2,asia,2020
1383,2020-08-12 07:30:00,2020-08-12 07:45:00,-1,1874.9427545026404,1885.2321562314755,1854.3639510449702,1885.5766367486701,sl,0.01,-10.703882246029771,-1.033479159068036,1,london,2020
1384,2020-08-13 11:45:00,2020-08-13 12:30:00,1,1934.1145265466,1929.6484458444984,1943.0466879508033,1929.3309113974308,sl,0.01,-4.8536151491692365,-1.071099128799481,3,london,2020
1385,2020-08-13 15:15:00,2020-08-13 15:30:00,-1,1923.3958879935494,1928.6755056745055,1912.8366526316372,1929.0246056993133,sl,0.01,-5.698717705763848,-1.066122216778492,1,ny,2020
1386,2020-08-13 17:45:00,2020-08-13 20:15:00,1,1947.4761782457795,1940.7481750173918,1960.9321847025549,1960.602233441983,tp,0.01,13.056055196203424,1.9509585163128618,10,ny,2020
1387,2020-08-14 09:45:00,2020-08-14 10:15:00,-1,1942.261257710186,1947.0808622123448,1932.6220487058688,1947.33574975003,sl,0.01,-5.14449203984379,-1.0528855713307956,2,london,2020
1388,2020-08-14 17:00:00,2020-08-14 20:00:00,-1,1943.8745909439815,1949.5685323015955,1932.4867082287535,1932.7721807608732,tp,0.01,11.032410183108304,1.949863808882059,12,ny,2020
1389,2020-08-17 04:00:00,2020-08-17 08:00:00,1,1937.314859679147,1932.0176562289298,1947.9092665795815,1943.6285951803961,timeout,0.01,6.243735501249084,1.1918997562742577,16,asia,2020
1390,2020-08-17 11:30:00,2020-08-17 15:00:00,-1,1952.8640257747913,1956.6292059687269,1945.3336653869203,1956.8927281049273,sl,0.01,-4.098702330135957,-1.0699892495516905,14,london,2020
1391,2020-08-17 17:00:00,2020-08-17 17:30:00,1,1976.321694723309,1971.731404423892,1985.502275322143,1985.241943036372,tp,0.01,8.850248313062984,1.9432863133287424,2,ny,2020
1392,2020-08-17 20:00:00,2020-08-17 20:15:00,-1,1985.5762209959867,1989.6345742323208,1977.4595145233184,1989.919715317461,sl,0.01,-4.413494321474282,-1.0702602924228706,1,ny,2020
1393,2020-08-18 05:15:00,2020-08-18 06:15:00,1,1994.2016633438207,1990.4796797500194,2001.645630531423,1990.1604912407488,sl,0.01,-4.111172103071858,-1.0857576346661435,4,asia,2020
1394,2020-08-18 08:15:00,2020-08-18 08:30:00,1,1992.728684956577,1989.8566359020094,1998.4727830657116,1998.1688662364759,tp,0.01,5.370181279898979,1.8941811844220993,1,london,2020
1395,2020-08-18 12:00:00,2020-08-18 13:00:00,1,2009.2634957816867,2005.3357662335786,2017.118954877903,2005.0472248104345,sl,0.01,-4.286270971252243,-1.0734626505236613,4,london,2020
