signal_id,direction,n_bars,pnl_log,r_multiple,pnl_r,entry_bar,exit_bar
trade_6829,SHORT,4,-7.48327955075839e-05,-0.11043791180572987,-0.11043791180572987,2023-06-01 03:30:00,2023-06-01 04:15:00
trade_6831,SHORT,2,0.0006411381591514525,1.99761996851888,1.99761996851888,2023-06-01 04:45:00,2023-06-01 05:00:00
trade_6833,SHORT,2,0.0002622152521287336,1.979987995697254,1.979987995697254,2023-06-01 05:45:00,2023-06-01 06:00:00
trade_6835,SHORT,1,0.0011658805707897525,1165.8805707897525,1165.8805707897525,2023-06-01 07:15:00,2023-06-01 07:15:00
trade_6836,LONG,10,0.0034142017048553594,1.9905503447561086,1.9905503447561086,2023-06-01 07:30:00,2023-06-01 09:45:00
trade_6837,SHORT,2,0.00042964153613275676,1.0491869305378152,1.0491869305378152,2023-06-01 10:00:00,2023-06-01 10:15:00
trade_6839,SHORT,1,0.000957852241601322,957.852241601322,957.852241601322,2023-06-01 12:00:00,2023-06-01 12:00:00
trade_6841,SHORT,480,-0.004568069733604895,-0.5324636561640345,-0.5324636561640345,2023-06-01 12:45:00,2023-06-08 12:30:00
trade_6843,SHORT,5,-0.0018685512548323269,-3.4205312053952994,-3.4205312053952994,2023-06-08 13:00:00,2023-06-08 14:00:00
trade_6845,SHORT,38,-0.001261911777972074,-0.982030715494578,-0.982030715494578,2023-06-08 14:45:00,2023-06-09 00:00:00
trade_6847,SHORT,4,0.00012056181821832736,1.1198673416570566,1.1198673416570566,2023-06-09 00:30:00,2023-06-09 01:15:00
trade_6849,SHORT,2,-0.00019484586362122227,-1.0606903087079762,-1.0606903087079762,2023-06-09 06:30:00,2023-06-09 06:45:00
trade_6851,LONG,1,0.0005384029983574662,538.4029983574662,538.4029983574662,2023-06-09 07:45:00,2023-06-09 07:45:00
trade_6853,SHORT,4,0.0003065575469676643,2.710609217508764,2.710609217508764,2023-06-09 08:15:00,2023-06-09 09:00:00
trade_6855,LONG,3,-0.00010221433425540446,-0.2661162199132062,-0.2661162199132062,2023-06-09 09:45:00,2023-06-09 10:15:00
trade_6857,LONG,2,0.0006131806148336168,2.029318579285608,2.029318579285608,2023-06-09 10:45:00,2023-06-09 11:00:00
trade_6859,LONG,3,0.0009421331425035217,1.5158901112634846,1.5158901112634846,2023-06-09 11:30:00,2023-06-09 12:00:00
trade_6861,LONG,1,-0.00027844811763310897,-278.448117633109,-278.448117633109,2023-06-09 12:30:00,2023-06-09 12:30:00
trade_6863,LONG,1,0.00015323571165024247,153.23571165024248,153.23571165024248,2023-06-09 13:00:00,2023-06-09 13:00:00
trade_6864,SHORT,26,0.0021009094622414953,1.6739596891164787,1.6739596891164787,2023-06-09 13:15:00,2023-06-09 19:30:00
trade_6866,SHORT,2,-0.00019541064212736715,-0.6750189113647637,-0.6750189113647637,2023-06-09 20:15:00,2023-06-09 20:30:00
trade_6868,SHORT,18,0.000497904854620984,0.6934513756342403,0.6934513756342403,2023-06-11 21:00:00,2023-06-12 01:15:00
trade_6870,SHORT,20,-0.0006095163839189403,-0.6364948236438297,-0.6364948236438297,2023-06-12 01:45:00,2023-06-12 06:30:00
trade_6872,SHORT,16,-0.0021884744479894395,-1.2639217544199473,-1.2639217544199473,2023-06-12 07:00:00,2023-06-12 10:45:00
trade_6874,SHORT,11,0.001872124710898775,1.5484876052732934,1.5484876052732934,2023-06-12 11:15:00,2023-06-12 13:45:00
trade_6876,SHORT,1,0.0006880808859472742,688.0808859472742,688.0808859472742,2023-06-12 14:15:00,2023-06-12 14:15:00
trade_6877,LONG,1,0.0003440996248859999,344.0996248859999,344.0996248859999,2023-06-12 14:30:00,2023-06-12 14:30:00
trade_6878,SHORT,1,0.0006790129459375824,679.0129459375825,679.0129459375825,2023-06-12 14:45:00,2023-06-12 14:45:00
trade_6879,LONG,4,-0.00010235700270431504,-0.100292985252015,-0.100292985252015,2023-06-12 15:00:00,2023-06-12 15:45:00
trade_6881,LONG,1,-0.0003070881553249645,-307.08815532496453,-307.08815532496453,2023-06-12 16:15:00,2023-06-12 16:15:00
trade_6883,LONG,4,0.0004604190825054238,0.8409950808079063,0.8409950808079063,2023-06-12 17:00:00,2023-06-12 17:45:00
trade_6885,LONG,2,0.00023243813763651998,0.3971752992081222,0.3971752992081222,2023-06-12 18:15:00,2023-06-12 18:30:00
trade_6887,LONG,1,0.0001440175796855043,144.0175796855043,144.0175796855043,2023-06-12 23:30:00,2023-06-12 23:30:00
trade_6889,LONG,1,0.00043179397134375237,431.7939713437524,431.7939713437524,2023-06-13 02:15:00,2023-06-13 02:15:00
trade_6891,SHORT,72,0.0007274934927533091,0.19739076031255015,0.19739076031255015,2023-06-13 06:15:00,2023-06-14 00:00:00
trade_6892,LONG,192,0.015085129678797007,2.0246585393860497,2.0246585393860497,2023-06-14 00:15:00,2023-06-16 00:00:00
trade_6894,SHORT,1,0.0010493180396177464,1049.3180396177465,1049.3180396177465,2023-06-16 12:30:00,2023-06-16 12:30:00
trade_6896,LONG,1,-0.0006165721070860913,-616.5721070860914,-616.5721070860914,2023-06-16 13:00:00,2023-06-16 13:00:00
trade_6898,SHORT,1,-0.0002927641531207761,-292.7641531207761,-292.7641531207761,2023-06-16 16:30:00,2023-06-16 16:30:00
trade_6900,SHORT,1,4.5698826461600025e-05,45.69882646160003,45.69882646160003,2023-06-16 18:15:00,2023-06-16 18:15:00
trade_6902,SHORT,1,0.0006033734241654307,603.3734241654307,603.3734241654307,2023-06-16 19:45:00,2023-06-16 19:45:00
trade_6904,SHORT,67,0.001390642664323754,0.673607125107331,0.673607125107331,2023-06-16 20:45:00,2023-06-19 13:15:00
trade_6906,SHORT,69,-0.0018538740967795374,-0.8319978860704332,-0.8319978860704332,2023-06-19 14:15:00,2023-06-20 07:15:00
trade_6908,SHORT,12,0.0007232677367107528,0.5460618017199921,0.5460618017199921,2023-06-20 09:45:00,2023-06-20 12:30:00
trade_6910,LONG,2,0.0008987775397072635,2.949850037396781,2.949850037396781,2023-06-20 14:45:00,2023-06-20 15:00:00
trade_6912,LONG,3,0.0005685491604283106,1.0665259839037828,1.0665259839037828,2023-06-20 15:45:00,2023-06-20 16:15:00
trade_6914,LONG,3,0.00024271344591304312,2.0558223773861344,2.0558223773861344,2023-06-20 20:45:00,2023-06-20 21:15:00
trade_6916,LONG,1,-0.00019231473739610502,-192.31473739610504,-192.31473739610504,2023-06-20 21:45:00,2023-06-20 21:45:00
trade_6918,LONG,4,0.00024266343844953802,1.7505023374708324,1.7505023374708324,2023-06-20 22:15:00,2023-06-20 23:00:00
trade_6920,LONG,1,-9.156796409608842e-05,-91.56796409608842,-91.56796409608842,2023-06-20 23:30:00,2023-06-20 23:30:00
trade_6922,LONG,6,-0.0005954180468491479,-2.0660922850791796,-2.0660922850791796,2023-06-21 00:00:00,2023-06-21 01:15:00
trade_6924,LONG,3,0.00038015760967690293,1.2388528463801534,1.2388528463801534,2023-06-21 01:45:00,2023-06-21 02:15:00
trade_6926,LONG,1,-4.5808625304953015e-06,-4.580862530495302,-4.580862530495302,2023-06-21 04:00:00,2023-06-21 04:00:00
trade_6928,LONG,1,-0.00015113869293821206,-151.13869293821207,-151.13869293821207,2023-06-21 04:45:00,2023-06-21 04:45:00
trade_6930,LONG,2,-0.0004214982492337584,-3.6132773380990857,-3.6132773380990857,2023-06-21 05:15:00,2023-06-21 05:30:00
trade_6932,LONG,3,-4.1233051503641416e-05,-0.08919503288016406,-0.08919503288016406,2023-06-21 06:30:00,2023-06-21 07:00:00
trade_6934,SHORT,1,0.0005725527534738127,572.5527534738127,572.5527534738127,2023-06-21 07:45:00,2023-06-21 07:45:00
trade_6935,LONG,1,0.0009067719998298782,906.7719998298783,906.7719998298783,2023-06-21 08:00:00,2023-06-21 08:00:00
trade_6937,SHORT,1,-0.0009432235131531349,-943.223513153135,-943.223513153135,2023-06-21 12:45:00,2023-06-21 12:45:00
trade_6939,SHORT,1,-0.0001464195838810339,-146.4195838810339,-146.4195838810339,2023-06-21 14:00:00,2023-06-21 14:00:00
trade_6941,LONG,6,-0.00045177734078322504,-0.4510449536923538,-0.4510449536923538,2023-06-21 14:45:00,2023-06-21 16:00:00
