report_date,vintage_date,mm_long,mm_short,mm_net,open_interest,mm_net_pct,mm_net_pct_z52,producer_long,producer_short,producer_net
2023-04-04T00:00:00+0000,2023-04-07T19:30:00+0000,142348,32217,110131,476592,0.2310802531305603,2.0311761658850376,15763,51702,-35939
2023-04-11T00:00:00+0000,2023-04-14T19:30:00+0000,135015,30409,104606,476567,0.21949904210740567,1.8706516384536926,16516,51449,-34933
2023-04-18T00:00:00+0000,2023-04-21T19:30:00+0000,137170,34474,102696,482254,0.21295002218747797,1.7578475125092135,17347,51291,-33944
2023-04-25T00:00:00+0000,2023-04-28T19:30:00+0000,135979,33176,102803,473209,0.21724650207413637,1.7535182985024467,17543,52563,-35020
2023-05-02T00:00:00+0000,2023-05-05T19:30:00+0000,143191,29401,113790,493804,0.23043555742764335,1.8287383452594397,18762,54293,-35531
2023-05-09T00:00:00+0000,2023-05-12T19:30:00+0000,143463,32477,110986,518951,0.21386604901040754,1.577970554233179,18250,55018,-36768
2023-05-16T00:00:00+0000,2023-05-19T19:30:00+0000,139786,35803,103983,521832,0.19926528078002115,1.3624247664396416,18148,52362,-34214
2023-05-23T00:00:00+0000,2023-05-26T19:30:00+0000,128550,35411,93139,479080,0.194412206729565,1.2738012324427552,18435,44860,-26425
2023-05-30T00:00:00+0000,2023-06-02T19:30:00+0000,122904,36201,86703,449515,0.19288121642214387,1.2200009580572402,12396,43768,-31372
2023-06-06T00:00:00+0000,2023-06-09T19:30:00+0000,120985,27557,93428,436301,0.21413657085360793,1.40196321511007,13860,43638,-29778
2023-06-13T00:00:00+0000,2023-06-16T19:30:00+0000,110512,35869,74643,432898,0.1724262990358006,0.9352819860893666,14225,41384,-27159
2023-06-20T00:00:00+0000,2023-06-23T19:30:00+0000,110314,34275,76039,438037,0.1735903588053064,0.9249958299672165,13663,40542,-26879
2023-06-27T00:00:00+0000,2023-06-30T19:30:00+0000,108209,38534,69675,431861,0.161336633777998,0.7760888420892942,11393,37626,-26233
2023-07-03T00:00:00+0000,2023-07-06T19:30:00+0000,123017,39869,83148,448063,0.18557211820659147,0.988543335149551,13966,41391,-27425
2023-07-11T00:00:00+0000,2023-07-14T19:30:00+0000,124394,41951,82443,483170,0.1706293851025519,0.8033904328502846,13062,42136,-29074
2023-07-18T00:00:00+0000,2023-07-21T19:30:00+0000,147644,32326,115318,482104,0.2391973516087815,1.4467957808863605,14281,53555,-39274
2023-07-25T00:00:00+0000,2023-07-28T19:30:00+0000,132603,37316,95287,476176,0.20010878330701254,1.0099412617274532,16452,55396,-38944
2023-08-01T00:00:00+0000,2023-08-04T19:30:00+0000,123802,43793,80009,439383,0.1820939817880983,0.793781161271147,16334,46546,-30212
2023-08-08T00:00:00+0000,2023-08-11T19:30:00+0000,114585,55979,58606,427759,0.13700705303687358,0.3199260664707867,15411,41861,-26450
2023-08-15T00:00:00+0000,2023-08-18T19:30:00+0000,113146,83610,29536,433611,0.06811635313679773,-0.38623209671902065,17862,39392,-21530
2023-08-22T00:00:00+0000,2023-08-25T19:30:00+0000,105085,95976,9109,430239,0.021171953263186275,-0.8601699176251125,18338,35940,-17602
2023-08-29T00:00:00+0000,2023-09-01T19:30:00+0000,120609,81367,39242,442806,0.08862120206139935,-0.18292322896301824,20564,41031,-20467
