signal_id,direction,entry_bar,exit_bar,entry_price,exit_price,stop_loss,take_profit,confluence_score,exit_reason,bars_held,pnl_price,r_multiple,initial_risk
62a4a43b-3a9,LONG,2020-09-15 02:30:00,2020-09-15 06:15:00,1962.53,1965.84,1958.34,1970.92,41.910923628559544,time_expired,15,3.31,0.79,4.19
ae33f1d7-54c,SHORT,2020-09-17 00:30:00,2020-09-17 02:00:00,1955.86,1944.76,1961.41,1944.76,39.06380793304016,target_reached,6,11.1,2.0,5.55
04e4823a-617,SHORT,2020-09-17 03:30:00,2020-09-17 06:45:00,1940.13,1946.93,1946.93,1926.54,41.42857142857143,invalidated,13,-6.8,-1.0,6.8
bf2b093b-53d,SHORT,2020-09-17 07:45:00,2020-09-17 11:30:00,1944.62,1946.02,1950.17,1933.51,39.31316257576293,time_expired,15,-1.4,-0.252,5.55
de2d0509-9dd,SHORT,2020-09-28 10:15:00,2020-09-28 11:45:00,1860.12,1864.93,1868.06,1844.25,46.76554361577392,score_decayed,6,-4.81,-0.606,7.94
630e1c5d-590,LONG,2020-09-28 18:15:00,2020-09-28 22:00:00,1879.31,1879.6,1873.39,1891.14,41.34581740069524,time_expired,15,0.29,0.049,5.92
6340994e-702,LONG,2020-09-28 23:00:00,2020-09-29 01:45:00,1881.56,1884.65,1876.7,1891.28,39.3901322174543,time_expired,11,3.09,0.636,4.86
1def6ea5-0a7,LONG,2020-09-29 17:30:00,2020-09-29 20:15:00,1897.01,1897.49,1890.95,1909.13,39.314435751964446,time_expired,11,0.48,0.079,6.06
3941a76f-36d,LONG,2020-09-29 22:15:00,2020-09-30 00:45:00,1898.2,1894.22,1894.22,1906.17,39.6490574571154,invalidated,10,-3.98,-1.0,3.98
a3aaee04-3dc,LONG,2020-10-01 15:45:00,2020-10-01 20:30:00,1910.56,1905.13,1903.06,1925.55,41.32059119117409,score_decayed,19,-5.43,-0.724,7.5
0d3df87a-53d,LONG,2020-10-05 10:00:00,2020-10-05 12:15:00,1899.69,1905.74,1894.75,1909.57,48.831510041845,score_decayed,9,6.05,1.225,4.94
0e751c68-854,SHORT,2020-10-06 17:30:00,2020-10-06 20:00:00,1902.18,1890.36,1908.09,1890.36,36.09861636559841,target_reached,10,11.82,2.0,5.91
05d4f8cd-2a7,LONG,2020-10-09 02:45:00,2020-10-09 06:30:00,1909.78,1907.03,1905.01,1919.32,46.42128430291567,time_expired,15,-2.75,-0.577,4.77
a7c307c4-01c,LONG,2020-10-09 07:30:00,2020-10-09 10:45:00,1909.77,1917.78,1905.76,1917.78,39.64496144247738,target_reached,13,8.01,1.998,4.01
d7547a02-309,LONG,2020-10-09 13:30:00,2020-10-09 16:15:00,1919.53,1924.37,1914.29,1930.02,41.2405255122409,time_expired,11,4.84,0.924,5.24
62504dec-f6a,LONG,2020-10-09 18:15:00,2020-10-11 23:00:00,1928.98,1932.22,1922.56,1941.81,59.00050232298059,time_expired,211,3.24,0.505,6.42
072275ff-dd8,SHORT,2020-10-12 03:30:00,2020-10-12 04:45:00,1926.8,1928.55,1932.23,1915.94,39.26432785387594,score_decayed,5,-1.75,-0.322,5.43
3edc1613-789,SHORT,2020-10-13 02:15:00,2020-10-13 06:00:00,1912.49,1914.88,1917.44,1902.59,37.62052504697633,time_expired,15,-2.39,-0.483,4.95
8098cc2c-bac,LONG,2020-10-14 09:00:00,2020-10-14 10:15:00,1897.35,1898.05,1892.6,1906.86,36.41261942501837,score_decayed,5,0.7,0.147,4.75
d0d5ea49-2f8,LONG,2020-10-14 11:30:00,2020-10-14 12:30:00,1900.14,1907.15,1895.35,1909.72,41.50534527886311,score_decayed,4,7.01,1.463,4.79
af249aac-a48,LONG,2020-10-14 17:00:00,2020-10-14 19:45:00,1902.68,1899.13,1895.96,1916.12,38.65314432964683,time_expired,11,-3.55,-0.528,6.72
ae3c414c-329,LONG,2020-10-15 15:45:00,2020-10-15 18:30:00,1903.48,1904.72,1896.77,1916.9,41.58682202516811,time_expired,11,1.24,0.185,6.71
21c102c4-50e,SHORT,2020-10-16 19:45:00,2020-10-19 03:30:00,1899.41,1900.96,1903.65,1890.92,38.4042377796985,time_expired,223,-1.55,-0.366,4.24
91ae735c-c0e,LONG,2020-10-20 09:30:00,2020-10-20 12:00:00,1906.77,1902.64,1902.64,1915.03,40.29868271148886,invalidated,10,-4.13,-1.0,4.13
3cfcbffb-c1d,LONG,2020-10-21 08:15:00,2020-10-21 09:00:00,1918.77,1916.5,1914.14,1928.03,53.481028217430406,score_decayed,3,-2.27,-0.49,4.63
5cac762c-e95,SHORT,2020-10-22 14:15:00,2020-10-22 18:00:00,1896.74,1903.64,1903.64,1882.94,42.142857142857146,invalidated,15,-6.9,-1.0,6.9
ae67d44f-249,SHORT,2020-10-22 22:00:00,2020-10-22 22:30:00,1904.85,1906.4,1910.84,1892.87,38.95046382774422,score_decayed,2,-1.55,-0.259,5.99
67ffcac3-a2a,LONG,2020-10-23 08:30:00,2020-10-23 11:15:00,1911.67,1910.41,1907.73,1919.54,39.72858324770731,time_expired,11,-1.26,-0.32,3.94
95cd7f7c-9c1,SHORT,2020-10-23 16:15:00,2020-10-23 17:00:00,1897.1,1902.87,1902.87,1885.56,49.285714285714285,invalidated,3,-5.77,-1.0,5.77
54950e7a-576,SHORT,2020-10-25 22:30:00,2020-10-26 00:00:00,1896.99,1898.92,1901.44,1888.09,38.399295546975765,score_decayed,6,-1.93,-0.434,4.45
81fd1d96-7eb,LONG,2020-10-26 11:45:00,2020-10-26 12:15:00,1903.74,1905.04,1899.89,1911.44,38.28561470987205,score_decayed,2,1.3,0.338,3.85
0e2e0df4-b37,SHORT,2020-10-28 10:45:00,2020-10-28 12:00:00,1896.47,1888.67,1900.37,1888.67,42.142857142857146,target_reached,5,7.8,2.0,3.9
55d9bec1-439,SHORT,2020-10-28 15:15:00,2020-10-28 18:00:00,1877.44,1878.49,1885.58,1861.17,41.42857142857143,time_expired,11,-1.05,-0.129,8.14
c08aa17c-559,SHORT,2020-10-28 19:00:00,2020-10-29 00:30:00,1877.3,1879.02,1883.5,1864.9,49.478128562764326,score_decayed,22,-1.72,-0.277,6.2
